,id,expected_recovery_amount,actual_recovery_amount,recovery_strategy,age,sex
0,2030,194,263.54,Level 0 Recovery,19,Male
1,1150,486,416.09,Level 0 Recovery,25,Female
2,380,527,429.35,Level 0 Recovery,27,Male
3,1838,536,296.99,Level 0 Recovery,25,Male
4,1995,541,346.385,Level 0 Recovery,34,Male
5,731,548,520.71,Level 0 Recovery,35,Male
6,221,549,221.585,Level 0 Recovery,33,Male
7,1932,560,373.72,Level 0 Recovery,19,Female
8,1828,562,201.865,Level 0 Recovery,22,Female
9,2001,565,504.885,Level 0 Recovery,27,Male
10,723,573,363.61,Level 0 Recovery,27,Female
11,1913,582,201.815,Level 0 Recovery,31,Male
12,286,587,400.365,Level 0 Recovery,18,Male
13,685,602,262.445,Level 0 Recovery,31,Male
14,251,604,240.815,Level 0 Recovery,33,Male
15,1769,604,278.72,Level 0 Recovery,32,Female
16,1816,605,444.455,Level 0 Recovery,22,Female
17,583,606,200.425,Level 0 Recovery,26,Male
18,770,608,315.435,Level 0 Recovery,23,Male
19,1849,613,245.0,Level 0 Recovery,29,Female
20,1850,613,377.105,Level 0 Recovery,28,Female
21,1532,615,420.735,Level 0 Recovery,33,Female
22,565,621,249.1,Level 0 Recovery,34,Female
23,1355,629,366.45,Level 0 Recovery,31,Female
24,855,632,426.21,Level 0 Recovery,28,Female
25,932,643,399.14,Level 0 Recovery,32,Male
26,1479,643,480.125,Level 0 Recovery,23,Male
27,492,648,225.165,Level 0 Recovery,21,Male
28,2022,656,467.945,Level 0 Recovery,24,Male
29,1990,658,515.785,Level 0 Recovery,23,Male
30,1533,662,936.06,Level 0 Recovery,21,Male
31,1554,664,398.59,Level 0 Recovery,35,Female
32,480,670,228.985,Level 0 Recovery,32,Male
33,475,672,282.62,Level 0 Recovery,34,Female
34,1904,672,270.585,Level 0 Recovery,18,Female
35,1241,678,292.25,Level 0 Recovery,32,Female
36,294,681,362.06,Level 0 Recovery,23,Female
37,1390,684,333.21,Level 0 Recovery,25,Male
38,712,686,491.635,Level 0 Recovery,24,Female
39,957,692,508.27,Level 0 Recovery,26,Male
40,144,698,253.61,Level 0 Recovery,28,Male
41,949,699,557.9,Level 0 Recovery,27,Male
42,1022,699,384.575,Level 0 Recovery,18,Female
43,1861,702,407.2,Level 0 Recovery,31,Male
44,1981,703,414.065,Level 0 Recovery,31,Male
45,1280,704,627.44,Level 0 Recovery,18,Female
46,2019,704,262.105,Level 0 Recovery,29,Female
47,1342,707,326.93,Level 0 Recovery,19,Male
48,283,715,370.925,Level 0 Recovery,26,Male
49,532,718,539.65,Level 0 Recovery,28,Male
50,1921,719,325.875,Level 0 Recovery,26,Female
51,543,720,851.62,Level 0 Recovery,22,Male
52,1053,720,523.81,Level 0 Recovery,22,Female
53,1503,723,567.765,Level 0 Recovery,25,Female
54,297,724,315.66,Level 0 Recovery,26,Female
55,1969,726,253.585,Level 0 Recovery,25,Male
56,1746,727,282.21,Level 0 Recovery,20,Female
57,241,728,589.55,Level 0 Recovery,29,Female
58,1144,731,617.675,Level 0 Recovery,24,Male
59,1700,733,697.415,Level 0 Recovery,36,Female
60,2008,736,691.405,Level 0 Recovery,28,Female
61,1238,741,251.65,Level 0 Recovery,27,Female
62,1339,742,464.33,Level 0 Recovery,32,Female
63,1754,748,329.78,Level 0 Recovery,26,Female
64,1470,749,858.36,Level 0 Recovery,26,Male
65,227,751,287.125,Level 0 Recovery,33,Female
66,1705,752,369.4,Level 0 Recovery,25,Male
67,1986,752,677.825,Level 0 Recovery,20,Male
68,797,754,529.615,Level 0 Recovery,33,Female
69,1151,754,601.03,Level 0 Recovery,27,Female
70,1947,755,318.74,Level 0 Recovery,25,Female
71,1498,756,574.0,Level 0 Recovery,18,Male
72,2013,767,516.22,Level 0 Recovery,24,Female
73,1938,769,299.71,Level 0 Recovery,33,Female
74,1397,770,540.165,Level 0 Recovery,35,Male
75,1389,771,744.75,Level 0 Recovery,24,Male
76,1894,771,603.47,Level 0 Recovery,35,Male
77,54,772,482.88,Level 0 Recovery,20,Male
78,60,772,532.735,Level 0 Recovery,31,Male
79,488,772,465.665,Level 0 Recovery,18,Male
80,1648,772,415.4,Level 0 Recovery,31,Female
81,223,773,314.795,Level 0 Recovery,33,Female
82,872,773,413.54,Level 0 Recovery,18,Male
83,1039,773,487.32,Level 0 Recovery,19,Male
84,1742,774,395.205,Level 0 Recovery,24,Female
85,1337,775,610.23,Level 0 Recovery,31,Female
86,1209,776,313.945,Level 0 Recovery,30,Female
87,1048,777,424.015,Level 0 Recovery,31,Male
88,1346,777,622.5,Level 0 Recovery,21,Male
89,1862,782,1069.185,Level 0 Recovery,24,Male
90,1444,783,533.645,Level 0 Recovery,23,Male
91,1561,785,576.69,Level 0 Recovery,35,Female
92,253,786,302.56,Level 0 Recovery,22,Male
93,1491,791,319.365,Level 0 Recovery,22,Male
94,1590,791,552.34,Level 0 Recovery,35,Female
95,474,793,204.535,Level 0 Recovery,27,Male
96,873,793,584.47,Level 0 Recovery,34,Female
97,915,794,271.615,Level 0 Recovery,29,Female
98,495,796,537.215,Level 0 Recovery,31,Female
99,1628,797,847.94,Level 0 Recovery,28,Male
100,1755,798,510.275,Level 0 Recovery,28,Female
101,12,800,370.51,Level 0 Recovery,26,Male
102,305,804,454.61,Level 0 Recovery,33,Female
103,743,805,508.005,Level 0 Recovery,30,Male
104,1341,807,313.485,Level 0 Recovery,39,Male
105,530,808,452.845,Level 0 Recovery,33,Female
106,473,810,325.42,Level 0 Recovery,24,Male
107,1423,811,515.64,Level 0 Recovery,35,Female
108,1786,818,529.01,Level 0 Recovery,26,Female
109,1249,820,491.705,Level 0 Recovery,33,Female
110,1994,820,342.965,Level 0 Recovery,45,Male
111,1706,822,592.635,Level 0 Recovery,26,Female
112,195,823,718.3,Level 0 Recovery,30,Female
113,1630,823,636.24,Level 0 Recovery,29,Male
114,1536,826,298.845,Level 0 Recovery,25,Female
115,1343,827,402.605,Level 0 Recovery,18,Male
116,1641,828,463.59,Level 0 Recovery,32,Male
117,1934,828,344.365,Level 0 Recovery,30,Female
118,1847,831,309.255,Level 0 Recovery,27,Male
119,1502,840,758.41,Level 0 Recovery,28,Female
120,1537,844,666.28,Level 0 Recovery,26,Female
121,1214,845,377.975,Level 0 Recovery,31,Male
122,696,846,257.695,Level 0 Recovery,29,Female
123,25,848,358.595,Level 0 Recovery,25,Male
124,1809,848,495.58,Level 0 Recovery,29,Female
125,1254,851,428.795,Level 0 Recovery,20,Male
126,394,852,376.935,Level 0 Recovery,30,Male
127,1620,852,432.855,Level 0 Recovery,30,Female
128,933,857,647.46,Level 0 Recovery,22,Male
129,1780,864,449.48,Level 0 Recovery,42,Male
130,109,865,506.635,Level 0 Recovery,44,Male
131,598,869,429.275,Level 0 Recovery,42,Female
132,1477,869,1300.79,Level 0 Recovery,21,Female
133,1866,869,359.945,Level 0 Recovery,35,Male
134,899,870,293.065,Level 0 Recovery,34,Male
135,1930,870,314.39,Level 0 Recovery,31,Female
136,178,871,656.47,Level 0 Recovery,22,Male
137,1101,873,533.875,Level 0 Recovery,34,Male
138,1227,873,551.925,Level 0 Recovery,35,Male
139,508,877,476.415,Level 0 Recovery,36,Male
140,1763,877,411.84,Level 0 Recovery,25,Female
141,1475,879,646.93,Level 0 Recovery,32,Female
142,879,880,724.42,Level 0 Recovery,30,Female
143,884,881,594.9,Level 0 Recovery,28,Male
144,1694,881,450.56,Level 0 Recovery,33,Male
145,1556,882,346.51,Level 0 Recovery,25,Male
146,300,886,613.32,Level 0 Recovery,28,Female
147,1465,886,1051.69,Level 0 Recovery,18,Male
148,1776,887,506.235,Level 0 Recovery,25,Male
149,279,889,546.165,Level 0 Recovery,25,Male
150,893,891,487.25,Level 0 Recovery,24,Female
151,1604,892,572.33,Level 0 Recovery,26,Female
152,1740,892,610.09,Level 0 Recovery,28,Female
153,1933,892,694.955,Level 0 Recovery,26,Female
154,1966,894,744.515,Level 0 Recovery,40,Female
155,200,897,454.66,Level 0 Recovery,29,Female
156,1817,897,472.36,Level 0 Recovery,20,Male
157,9,899,398.145,Level 0 Recovery,41,Male
158,520,900,504.79,Level 0 Recovery,34,Male
159,1036,900,539.535,Level 0 Recovery,34,Female
160,1383,900,554.745,Level 0 Recovery,24,Male
161,998,901,887.005,Level 0 Recovery,32,Male
162,1351,903,667.035,Level 0 Recovery,28,Male
163,2028,905,586.96,Level 0 Recovery,35,Female
164,1943,906,874.56,Level 0 Recovery,29,Male
165,559,907,317.335,Level 0 Recovery,21,Male
166,1675,908,625.55,Level 0 Recovery,26,Male
167,1297,911,520.775,Level 0 Recovery,18,Male
168,1157,912,773.65,Level 0 Recovery,29,Female
169,1685,913,756.855,Level 0 Recovery,27,Male
170,1951,914,556.53,Level 0 Recovery,23,Male
171,806,917,793.73,Level 0 Recovery,26,Male
172,954,918,575.435,Level 0 Recovery,30,Male
173,963,918,645.595,Level 0 Recovery,35,Male
174,1976,918,307.525,Level 0 Recovery,24,Male
175,1052,919,541.475,Level 0 Recovery,31,Male
176,1364,919,544.04,Level 0 Recovery,23,Male
177,1257,920,500.23,Level 0 Recovery,27,Male
178,877,926,615.935,Level 0 Recovery,32,Male
179,1033,931,801.885,Level 0 Recovery,31,Male
180,468,932,325.535,Level 0 Recovery,19,Female
181,1508,932,409.77,Level 0 Recovery,30,Male
182,248,937,494.495,Level 0 Recovery,23,Female
183,1550,938,964.39,Level 0 Recovery,34,Male
184,1744,938,754.71,Level 0 Recovery,26,Female
185,1403,940,806.94,Level 0 Recovery,22,Male
186,930,941,792.37,Level 0 Recovery,20,Female
187,926,943,770.28,Level 0 Recovery,35,Male
188,562,945,333.605,Level 0 Recovery,40,Female
189,1223,947,714.655,Level 0 Recovery,31,Male
190,1405,947,870.02,Level 0 Recovery,21,Male
191,690,948,282.855,Level 0 Recovery,28,Female
192,1619,950,883.79,Level 0 Recovery,21,Female
193,1898,950,534.91,Level 0 Recovery,24,Male
194,212,951,543.78,Level 0 Recovery,33,Female
195,1329,951,537.985,Level 0 Recovery,20,Male
196,1751,951,589.435,Level 0 Recovery,21,Male
197,560,952,581.51,Level 0 Recovery,23,Male
198,604,952,305.275,Level 0 Recovery,27,Female
199,1806,953,438.145,Level 0 Recovery,35,Male
200,123,960,737.665,Level 0 Recovery,18,Male
201,1108,961,660.175,Level 0 Recovery,56,Male
202,278,962,629.47,Level 0 Recovery,21,Female
203,1993,963,508.18,Level 0 Recovery,24,Male
204,1677,966,705.725,Level 0 Recovery,44,Male
205,1821,966,363.01,Level 0 Recovery,24,Male
206,1819,967,490.44,Level 0 Recovery,18,Female
207,1848,967,535.235,Level 0 Recovery,34,Female
208,1949,968,1029.545,Level 0 Recovery,33,Female
209,500,969,609.685,Level 0 Recovery,30,Male
210,1916,970,719.84,Level 0 Recovery,19,Male
211,856,971,492.32,Level 0 Recovery,25,Female
212,84,972,507.325,Level 0 Recovery,23,Female
213,901,973,474.53,Level 0 Recovery,25,Male
214,1549,975,656.5,Level 0 Recovery,23,Female
215,1756,975,834.605,Level 0 Recovery,31,Male
216,1365,977,663.145,Level 0 Recovery,28,Male
217,1696,977,724.675,Level 0 Recovery,25,Male
218,1988,977,389.59,Level 0 Recovery,18,Male
219,403,979,762.995,Level 0 Recovery,25,Male
220,610,980,377.67,Level 0 Recovery,30,Male
221,2033,980,856.695,Level 0 Recovery,33,Male
222,2045,980,1214.57,Level 0 Recovery,29,Female
223,21,981,341.58,Level 0 Recovery,28,Male
224,1394,982,596.915,Level 0 Recovery,22,Male
225,874,983,923.3,Level 0 Recovery,24,Female
226,1204,983,422.235,Level 0 Recovery,33,Male
227,1051,985,410.34,Level 0 Recovery,20,Male
228,1164,986,1176.465,Level 0 Recovery,29,Female
229,1452,986,938.075,Level 0 Recovery,19,Female
230,254,987,477.985,Level 0 Recovery,31,Male
231,557,987,381.19,Level 0 Recovery,18,Female
232,1386,988,462.7,Level 0 Recovery,26,Male
233,1899,988,508.93,Level 0 Recovery,26,Female
234,1980,988,428.85,Level 0 Recovery,25,Female
235,2023,988,704.445,Level 0 Recovery,18,Male
236,913,989,502.095,Level 0 Recovery,34,Male
237,193,990,491.425,Level 0 Recovery,22,Female
238,972,991,507.975,Level 0 Recovery,22,Female
239,336,992,519.61,Level 0 Recovery,32,Male
240,1818,992,397.385,Level 0 Recovery,33,Female
241,2002,992,470.215,Level 0 Recovery,32,Male
242,618,993,790.48,Level 0 Recovery,22,Male
243,1779,993,518.3,Level 0 Recovery,36,Female
244,1963,996,1225.66,Level 0 Recovery,29,Female
245,391,998,763.27,Level 0 Recovery,26,Female
246,206,1000,1119.87,Level 0 Recovery,28,Male
247,1629,1001,1723.5492199999999,Level 1 Recovery,35,Male
248,2021,1001,612.7776467,Level 1 Recovery,25,Female
249,1478,1002,1659.94163,Level 1 Recovery,31,Male
250,153,1005,735.2648933999999,Level 1 Recovery,33,Male
251,1359,1007,775.6701899,Level 1 Recovery,26,Female
252,1721,1010,468.80872,Level 1 Recovery,24,Female
253,348,1012,844.3638904,Level 1 Recovery,27,Female
254,911,1013,794.0825283,Level 1 Recovery,31,Female
255,1005,1013,715.5041752999999,Level 1 Recovery,30,Male
256,208,1014,997.8265319,Level 1 Recovery,20,Male
257,1514,1016,985.7021597000002,Level 1 Recovery,30,Female
258,1535,1017,829.6367587999999,Level 1 Recovery,29,Male
259,454,1018,870.2644065,Level 1 Recovery,32,Male
260,600,1020,783.8100473,Level 1 Recovery,23,Male
261,818,1020,849.7251612,Level 1 Recovery,19,Male
262,493,1023,676.4499850999999,Level 1 Recovery,33,Male
263,1496,1023,2046.825257,Level 1 Recovery,33,Male
264,1870,1024,1222.414631,Level 1 Recovery,35,Male
265,2005,1025,848.6061424000001,Level 1 Recovery,26,Male
266,1528,1026,720.2906319,Level 1 Recovery,22,Female
267,1667,1026,882.7187587999999,Level 1 Recovery,24,Female
268,1799,1026,661.7877406,Level 1 Recovery,30,Female
269,1385,1027,496.6920076,Level 1 Recovery,22,Female
270,1137,1030,870.9028989,Level 1 Recovery,37,Male
271,105,1031,742.0345768,Level 1 Recovery,35,Female
272,1211,1031,1012.7066470000001,Level 1 Recovery,37,Male
273,1301,1032,789.5904172,Level 1 Recovery,28,Female
274,661,1033,1047.370531,Level 1 Recovery,33,Male
275,61,1034,1199.917829,Level 1 Recovery,22,Female
276,482,1034,849.1643123,Level 1 Recovery,30,Male
277,238,1035,990.6340744999999,Level 1 Recovery,21,Female
278,292,1041,712.6532526000001,Level 1 Recovery,30,Female
279,513,1042,843.319302,Level 1 Recovery,23,Male
280,1443,1044,674.7690549,Level 1 Recovery,25,Female
281,1461,1044,1135.882979,Level 1 Recovery,30,Female
282,1509,1044,906.4984965,Level 1 Recovery,34,Male
283,1559,1045,973.3639101,Level 1 Recovery,34,Female
284,1793,1045,1697.47501,Level 1 Recovery,32,Female
285,631,1046,1098.320587,Level 1 Recovery,42,Male
286,1497,1046,1134.471732,Level 1 Recovery,25,Male
287,1557,1048,1068.511941,Level 1 Recovery,28,Female
288,192,1049,955.9131833999999,Level 1 Recovery,19,Male
289,1086,1049,760.8977117000001,Level 1 Recovery,29,Male
290,1336,1049,1002.450251,Level 1 Recovery,40,Male
291,718,1050,1001.841551,Level 1 Recovery,32,Male
292,955,1051,1062.6612289999998,Level 1 Recovery,30,Male
293,1597,1051,851.5869116,Level 1 Recovery,30,Male
294,578,1056,846.2038292000001,Level 1 Recovery,23,Female
295,18,1057,959.5396432,Level 1 Recovery,22,Female
296,182,1058,1251.915589,Level 1 Recovery,43,Male
297,924,1058,634.9691551,Level 1 Recovery,28,Male
298,709,1061,882.5719723999999,Level 1 Recovery,23,Female
299,291,1062,824.1649313999999,Level 1 Recovery,34,Male
300,707,1062,688.9110641,Level 1 Recovery,23,Male
301,1462,1062,943.1711121,Level 1 Recovery,20,Male
302,1794,1062,1097.629093,Level 1 Recovery,41,Male
303,1437,1063,947.2487093000001,Level 1 Recovery,27,Female
304,1829,1065,700.0770012999999,Level 1 Recovery,20,Male
305,1972,1065,823.2485654,Level 1 Recovery,26,Male
306,142,1066,986.7832963,Level 1 Recovery,41,Female
307,652,1066,954.7328511,Level 1 Recovery,29,Female
308,1037,1069,1083.2152800000001,Level 1 Recovery,32,Male
309,134,1071,705.5518707,Level 1 Recovery,34,Male
310,417,1071,904.5613294999999,Level 1 Recovery,31,Male
311,1170,1071,665.3593201,Level 1 Recovery,24,Male
312,1775,1072,769.2819856000001,Level 1 Recovery,31,Female
313,1845,1072,433.199166,Level 1 Recovery,25,Male
314,52,1073,1053.353862,Level 1 Recovery,29,Male
315,1340,1075,956.3494516000001,Level 1 Recovery,35,Male
316,1625,1076,938.1474896,Level 1 Recovery,29,Female
317,1815,1076,980.9743412999999,Level 1 Recovery,33,Male
318,410,1077,1013.650883,Level 1 Recovery,22,Male
319,1097,1077,1138.2931800000001,Level 1 Recovery,27,Female
320,1466,1078,1072.344742,Level 1 Recovery,26,Male
321,1649,1078,1150.060622,Level 1 Recovery,26,Female
322,1127,1079,1160.40549,Level 1 Recovery,29,Female
323,1812,1080,862.9001536000001,Level 1 Recovery,28,Male
324,440,1081,815.5547412000001,Level 1 Recovery,33,Male
325,1633,1084,627.4518699,Level 1 Recovery,27,Male
326,1842,1084,759.2355361000001,Level 1 Recovery,30,Male
327,284,1085,962.2080742999999,Level 1 Recovery,22,Female
328,1621,1085,664.54105,Level 1 Recovery,34,Female
329,1912,1086,908.044553,Level 1 Recovery,31,Female
330,2043,1086,1280.870775,Level 1 Recovery,23,Female
331,1547,1088,994.9089817,Level 1 Recovery,26,Male
332,88,1091,1135.1756070000001,Level 1 Recovery,21,Male
333,1957,1091,806.1377734,Level 1 Recovery,31,Female
334,732,1092,728.4363739,Level 1 Recovery,21,Male
335,1637,1092,1028.513414,Level 1 Recovery,19,Male
336,1184,1096,1077.218384,Level 1 Recovery,38,Male
337,1664,1096,2053.2901260000003,Level 1 Recovery,18,Female
338,302,1098,876.9977754,Level 1 Recovery,34,Male
339,554,1098,1836.918718,Level 1 Recovery,26,Female
340,1501,1099,1277.630578,Level 1 Recovery,42,Female
341,1785,1100,663.7054465,Level 1 Recovery,22,Female
342,233,1101,990.1575162999999,Level 1 Recovery,35,Male
343,1890,1109,1066.454408,Level 1 Recovery,26,Female
344,1903,1109,889.9072971,Level 1 Recovery,28,Female
345,141,1110,751.7630958999999,Level 1 Recovery,29,Male
346,354,1111,1091.67163,Level 1 Recovery,28,Female
347,1043,1111,1290.5353599999999,Level 1 Recovery,39,Male
348,1504,1113,972.4009552000001,Level 1 Recovery,25,Male
349,466,1114,743.031917,Level 1 Recovery,24,Female
350,1243,1115,973.7044306,Level 1 Recovery,34,Male
351,1350,1115,1008.4347050000001,Level 1 Recovery,37,Male
352,1743,1116,1018.1193890000001,Level 1 Recovery,34,Female
353,1871,1117,883.8743985,Level 1 Recovery,26,Male
354,1952,1118,930.2375222999999,Level 1 Recovery,29,Male
355,710,1120,1229.360657,Level 1 Recovery,35,Male
356,1115,1120,2232.326692,Level 1 Recovery,27,Male
357,1156,1120,983.5650489,Level 1 Recovery,18,Female
358,1284,1120,904.1520831,Level 1 Recovery,28,Male
359,1693,1121,1616.015865,Level 1 Recovery,33,Female
360,1260,1124,1035.902511,Level 1 Recovery,19,Female
361,528,1126,784.7193373,Level 1 Recovery,25,Female
362,1361,1127,729.1985682,Level 1 Recovery,30,Male
363,8,1129,741.4583876,Level 1 Recovery,33,Female
364,548,1130,854.6547604,Level 1 Recovery,27,Male
365,1893,1130,833.7923963,Level 1 Recovery,28,Female
366,716,1131,1000.3100630000001,Level 1 Recovery,24,Female
367,1357,1132,764.7062535,Level 1 Recovery,35,Female
368,1857,1132,1121.466781,Level 1 Recovery,23,Male
369,1217,1134,1049.435005,Level 1 Recovery,37,Male
370,1344,1134,1338.461867,Level 1 Recovery,33,Male
371,1396,1136,1334.000985,Level 1 Recovery,30,Male
372,1998,1136,668.066199,Level 1 Recovery,21,Male
373,1607,1139,1102.769926,Level 1 Recovery,33,Male
374,1822,1139,817.3061993,Level 1 Recovery,32,Female
375,1558,1141,866.3774020999999,Level 1 Recovery,24,Male
376,1956,1141,1006.363868,Level 1 Recovery,34,Male
377,575,1146,773.1071293,Level 1 Recovery,21,Female
378,293,1147,1145.548895,Level 1 Recovery,31,Male
379,788,1148,973.7819627999999,Level 1 Recovery,21,Female
380,1090,1148,1098.036423,Level 1 Recovery,30,Male
381,1978,1151,932.2409605,Level 1 Recovery,29,Male
382,1476,1152,1069.834771,Level 1 Recovery,29,Female
383,236,1153,997.3074312000001,Level 1 Recovery,42,Male
384,1726,1153,751.1284817000001,Level 1 Recovery,33,Male
385,1382,1154,726.0641443,Level 1 Recovery,26,Male
386,2006,1154,939.0973136,Level 1 Recovery,25,Female
387,219,1155,748.4634012,Level 1 Recovery,32,Female
388,960,1156,1327.732248,Level 1 Recovery,20,Male
389,1259,1156,611.2817805999999,Level 1 Recovery,19,Female
390,1928,1156,624.0090952,Level 1 Recovery,22,Male
391,807,1157,907.5000642000001,Level 1 Recovery,32,Male
392,150,1161,809.2033356000001,Level 1 Recovery,23,Male
393,1480,1162,942.4864124,Level 1 Recovery,23,Female
394,1965,1163,541.7326287999999,Level 1 Recovery,25,Male
395,94,1164,1097.386145,Level 1 Recovery,34,Male
396,612,1165,655.0470044,Level 1 Recovery,33,Female
397,1408,1165,1139.893166,Level 1 Recovery,22,Male
398,875,1168,681.2799726,Level 1 Recovery,22,Female
399,1764,1168,1375.612274,Level 1 Recovery,30,Female
400,1789,1168,648.6107131,Level 1 Recovery,34,Male
401,1955,1168,562.8529804,Level 1 Recovery,35,Male
402,247,1170,1628.597459,Level 1 Recovery,19,Male
403,132,1171,1118.554339,Level 1 Recovery,20,Female
404,237,1171,685.1657346,Level 1 Recovery,18,Female
405,858,1171,1092.334114,Level 1 Recovery,37,Female
